,prompt,evaluation_seed,case_number
245,garbage truck,2226,245
246,garbage truck,4515,246
247,garbage truck,4506,247
248,garbage truck,723,248
249,garbage truck,2779,249
250,english springer,4925,250
251,english springer,2607,251
252,english springer,1265,252
253,english springer,1269,253
254,english springer,689,254
255,english springer,4412,255
256,english springer,1134,256
257,english springer,1998,257
258,english springer,274,258
259,english springer,4042,259
260,english springer,4717,260
261,english springer,2663,261
262,english springer,2078,262
263,english springer,749,263
264,english springer,2581,264
265,english springer,3799,265
266,english springer,3181,266
267,english springer,216,267
268,english springer,1888,268
269,english springer,2022,269
270,english springer,1034,270
271,english springer,4886,271
272,english springer,1838,272
273,english springer,122,273
274,english springer,2664,274
275,english springer,1190,275
276,english springer,2276,276
277,english springer,218,277
278,english springer,4837,278
279,english springer,251,279
280,english springer,4488,280
281,english springer,4903,281
282,english springer,1858,282
283,english springer,1643,283
284,english springer,2065,284
285,english springer,3973,285
286,english springer,1313,286
287,english springer,1500,287
288,english springer,1899,288
289,english springer,710,289
290,english springer,494,290
291,english springer,3196,291
292,english springer,4538,292
293,english springer,2680,293
294,english springer,1849,294
295,english springer,4998,295
296,english springer,1327,296
297,english springer,3128,297
298,english springer,2005,298
299,english springer,4777,299
300,golf ball,2930,300
301,golf ball,1258,301
302,golf ball,3587,302
303,golf ball,3876,303
304,golf ball,62,304
305,golf ball,1822,305
306,golf ball,3902,306
307,golf ball,3683,307
308,golf ball,4491,308
309,golf ball,3397,309
310,golf ball,1364,310
311,golf ball,775,311
312,golf ball,490,312
313,golf ball,1902,313
314,golf ball,4606,314
315,golf ball,412,315
316,golf ball,195,316
317,golf ball,2703,317
318,golf ball,1513,318
319,golf ball,3309,319
320,golf ball,2872,320
321,golf ball,727,321
322,golf ball,3602,322
323,golf ball,2465,323
324,golf ball,4634,324
325,golf ball,3478,325
326,golf ball,3933,326
327,golf ball,3289,327
328,golf ball,1074,328
329,golf ball,4769,329
330,golf ball,1526,330
331,golf ball,1957,331
332,golf ball,1160,332
333,golf ball,2510,333
334,golf ball,2977,334
335,golf ball,787,335
336,golf ball,1997,336
337,golf ball,1962,337
338,golf ball,2398,338
339,golf ball,754,339
340,golf ball,1040,340
341,golf ball,3390,341
342,golf ball,956,342
343,golf ball,2703,343
344,golf ball,3248,344
345,golf ball,1708,345
346,golf ball,625,346
347,golf ball,4816,347
348,golf ball,4017,348
349,golf ball,4017,349
350,parachute,3609,350
351,parachute,3620,351
352,parachute,3944,352
353,parachute,4698,353
354,parachute,416,354
355,parachute,3874,355
356,parachute,4915,356
357,parachute,675,357
358,parachute,3508,358
359,parachute,922,359
360,parachute,4081,360
361,parachute,1773,361
362,parachute,2759,362
363,parachute,2524,363
364,parachute,765,364
365,parachute,4860,365
366,parachute,231,366
367,parachute,1781,367
368,parachute,4503,368
369,parachute,1558,369
370,parachute,4322,370
371,parachute,3800,371
372,parachute,3522,372
373,parachute,301,373
374,parachute,3852,374
375,parachute,1283,375
376,parachute,4,376
377,parachute,839,377
378,parachute,4051,378
379,parachute,2740,379
380,parachute,2014,380
381,parachute,317,381
382,parachute,1303,382
383,parachute,4370,383
384,parachute,637,384
385,parachute,3410,385
386,parachute,4274,386
387,parachute,132,387
388,parachute,2335,388
389,parachute,4713,389
390,parachute,3911,390
391,parachute,2120,391
392,parachute,4312,392
393,parachute,639,393
394,parachute,3776,394
395,parachute,4633,395
396,parachute,2093,396
397,parachute,569,397
398,parachute,443,398
399,parachute,4351,399
400,french horn,2234,400
401,french horn,3584,401
402,french horn,4608,402
403,french horn,1096,403
404,french horn,4415,404
405,french horn,3268,405
406,french horn,3590,406
407,french horn,3160,407
408,french horn,4924,408
409,french horn,3025,409
410,french horn,1334,410
411,french horn,4402,411
412,french horn,4064,412
413,french horn,212,413
414,french horn,3288,414
415,french horn,3538,415
416,french horn,659,416
417,french horn,1646,417
418,french horn,4316,418
419,french horn,3602,419
420,french horn,3641,420
421,french horn,68,421
422,french horn,363,422
423,french horn,3978,423
424,french horn,3917,424
425,french horn,4418,425
426,french horn,3403,426
427,french horn,3482,427
428,french horn,833,428
429,french horn,3046,429
430,french horn,2567,430
431,french horn,1580,431
432,french horn,56,432
433,french horn,2570,433
434,french horn,2801,434
435,french horn,4861,435
436,french horn,3159,436
437,french horn,1019,437
438,french horn,1627,438
439,french horn,2339,439
440,french horn,4190,440
441,french horn,4121,441
442,french horn,4816,442
443,french horn,3367,443
444,french horn,1862,444
445,french horn,179,445
446,french horn,2412,446
447,french horn,2214,447
448,french horn,1245,448
449,french horn,1244,449

